loss1,loss2,loss3,->,source1,source2,source3,rate,branching,heat,
name,name,name,goes to,name,name,name,mks,ratio,eV,
O+2D,N2,,,N2+,O,,1.50E-16,1,1.35,
O+2P,N2,,,N2+,O,,2.00E-16,1,3.05,
Schunk and Nagy Table 8.3,,,,,,,,,,
N+,O2,,,O2+,N_4S,,3.07E-16,1,0,R37
N+,O2,,,NO+,O,,2.32E-16,1,0,R38
N+,O2,,,O+,NO,,4.60E-16,1,0,R39
N2+,NO,,,NO+,N2,,4.10E-16,1,0,R43
N2+,O,,,NO+,N,,1.30E-16,1,0,R44
N2+,O,,,O+,N2,,9.80E-18,1,0,R45
N2+,O2,,,O2+,N2,,5.00E-17,1,0,R46
O+,N2,,,NO+,N_4S,,1.20E-18,1,1.1,R47
O+,O2,,,O2+,O,,2.10E-17,1,0,R48
O+,NO,,,NO+,O,,8.00E-19,1,0,R49
O2+,NO,,,NO+,O2,,4.60E-16,1,0,R52
O2+,N,,,NO+,O,,1.50E-16,1,0,R53
Schunk and Nagy Table 8.4,,,,,,,,,,
H+,e-,,,H,,,1.82E-18,1,0,
He+,e-,,,He,,,1.82E-18,1,0,
N+,e-,,,N,,,1.36E-18,1,0,
O+,e-,,,O,,,1.40E-18,1,0,
Schunk and Nagy Table 8.5,,,,,,,,,,
O2+,e-,,,O,O,,8.385E-14,1,3.06,
N2+,e-,,,N_4S,N_4S,,1.39E-13,0.44,5.77,
N2+,e-,,,N_2D,N_2D,,1.39E-13,0.56,1.04,
NO+,e-,,,N_4S,O,,2.19E-13,1,0,
