Short,,wave,1, Angstroms,50,100,150,200,256.3,284.15,250,303.31,303.78,300,368.07,350,400,465.22,450,500,554.37,584.33,550,609.76,629.73,600,650,703.31,700,765.15,770.41,789.36,750,800,850,900,977.02,950,1025.72,1031.91,1000, No Comments
Long,,wave,1, Angstroms,100,150,200,250,256.3,284.15,300,303.31,303.78,350,368.07,400,450,465.22,500,550,554.37,584.33,600,609.76,629.73,650,700,703.31,750,765.15,770.41,789.36,800,850,900,950,977.02,1000,1025.72,1031.91,1050, No Comments
F74113, , ,1.00E+09, /cm2/s,1.2,0.45,4.8,3.1,0.46,0.21,1.679,0.8,6.9,0.965,0.65,0.314,0.383,0.29,0.285,0.452,0.72,1.27,0.357,0.53,1.59,0.342,0.23,0.36,0.141,0.17,0.26,0.702,0.758,1.625,3.537,3,4.4,1.475,3.5,2.1,2.467, No Comments
AFAC, , ,1, ,1.00E-02,7.13E-03,1.34E-02,1.95E-02,2.78E-03,1.38E-01,2.65E-02,2.50E-02,3.33E-03,2.25E-02,6.59E-03,3.65E-02,7.41E-03,7.49E-03,2.02E-02,8.76E-03,3.27E-03,5.16E-03,3.66E-03,1.62E-02,3.33E-03,1.18E-02,4.27E-03,3.04E-03,4.75E-03,3.85E-03,1.28E-02,3.28E-03,4.77E-03,4.82E-03,5.68E-03,4.98E-03,3.94E-03,4.42E-03,5.18E-03,5.28E-03,4.38E-03, No Comments
N2,N2,abs,1.00E-22, m2,0.72,2.261,4.958,8.392,10.21,10.9,10.493,11.67,11.7,13.857,16.91,16.395,21.675,23.16,23.471,24.501,24.13,22.4,22.787,22.79,23.37,23.339,31.755,26.54,24.662,120.49,14.18,16.487,33.578,16.992,20.249,9.68,2.24,50.988,0,0,0, No Comments
N2,N2+,ion,1.00E-22, m2,0.443,1.479,3.153,5.226,6.781,8.1,7.347,9.18,9.21,11.6,15.35,14.669,20.692,22.1,22.772,24.468,24.13,22.4,22.787,22.79,23.37,23.339,29.235,25.48,15.06,65.8,8.5,8.86,14.274,0,0,0,0,0,0,0,0, No Comments
N2,N+,ion,1.00E-22, m2,0.277,0.782,1.805,3.166,3.42,2.8,3.145,2.49,2.49,2.257,1.56,1.726,0.982,1.06,0.699,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, No Comments
O2,O2,abs,1.00E-22, m2,1.316,3.806,7.509,10.9,13.37,15.79,14.387,16.8,16.81,17.438,18.32,18.118,20.31,21.91,23.101,24.606,26.04,22.72,26.61,28.07,32.06,26.017,21.919,27.44,28.535,20.8,18.91,26.668,22.145,16.631,8.562,12.817,18.73,21.108,1.63,1.05,1.346, No Comments
O2,O2+,ion,1.00E-22, m2,1.316,2.346,4.139,6.619,8.46,9.89,9.056,10.86,10.88,12.229,13.76,13.418,15.49,16.97,17.754,19.469,21.6,18.84,22.789,24.54,30.07,23.974,21.116,23.75,23.805,11.72,8.47,10.191,10.597,6.413,5.494,9.374,15.54,13.94,1.05,0,0.259, No Comments
O2,O+,ion,1.00E-22, m2,0,1.46,3.368,4.281,4.91,5.9,5.332,5.94,5.93,5.212,4.56,4.703,4.818,4.94,5.347,5.139,4.44,3.88,3.824,1.85,1.03,0.962,0.191,0,0,0,0,0,0,0,0,0,0,0,0,0,0, No Comments
O,O,abs,1.00E-22, m2,0.73,1.839,3.732,5.202,6.05,7.08,6.461,7.68,7.7,8.693,9.84,9.687,11.496,11.93,12.127,12.059,12.59,13.09,13.024,13.4,13.4,13.365,17.245,11.46,10.736,4,3.89,3.749,5.091,3.498,4.554,1.315,0,0,0,0,0, Last 5 are questionable
O,O+,ion,1.00E-22, m2,0.19,0.486,0.952,1.311,1.539,1.77,1.628,1.92,1.925,2.259,2.559,2.523,3.073,3.34,3.394,3.421,3.65,3.92,3.62,3.61,3.88,4.25,5.128,4.89,6.739,4,3.89,3.749,5.091,3.498,4.554,1.315,0,0,0,0,0, Last 5 are questionable
O,O+2D,ion,1.00E-22, m2,0.206,0.529,1.171,1.762,2.138,2.62,2.325,2.842,2.849,3.446,3.936,3.883,4.896,5.37,5.459,5.427,5.67,6.02,5.91,6.17,6.29,6.159,11.453,6.57,3.997,0,0,0,0,0,0,0,0,0,0,0,0, Last 5 are questionable
O,O+2P,ion,1.00E-22, m2,0.062,0.163,0.348,0.508,0.598,0.71,0.637,0.691,0.693,0.815,0.787,0.859,0.541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Last 5 are questionable
O,O+2P*,ion,1.00E-22, m2,0.049,0.13,0.278,0.366,0.412,0.35,0.383,0.307,0.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Last 5 are questionable
O,O++,ion,1.00E-22, m2,0.088,0.186,0.215,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Last 5 are questionable
N,N,abs,1.00E-22, m2,0.331,0.996,2.49,3.946,4.874,5.725,5.244,6.399,6.413,7.298,8.302,8.15,9.556,10.578,11.016,11.503,11.772,11.778,11.758,11.798,11.212,11.951,12.423,13.265,12.098,11.323,11.244,10.961,11.171,10.294,0.211,0,0,0,0,0,0, Last 5 are questionable
N,N+,ion,1.00E-22, m2,0.286,0.878,2.3,3.778,4.787,5.725,5.192,6.399,6.413,7.298,8.302,8.15,9.556,10.578,11.016,11.503,11.772,11.778,11.758,11.798,11.212,11.951,12.423,13.265,12.098,11.323,11.244,10.961,11.171,10.294,0.211,0,0,0,0,0,0, Last 5 are questionable
N,N++,ion,1.00E-22, m2,0.045,0.118,0.19,0.167,0.085,0,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Last 5 are questionable
He,He,abs,1.00E-22, m2,0.144,0.479,1.157,1.601,2.121,2.595,2.321,2.953,2.962,3.544,4.268,4.142,5.447,6.563,7.208,0.958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, No Comments
He,He+,ion,1.00E-22, m2,0.144,0.479,1.157,1.601,2.121,2.595,2.321,2.953,2.962,3.544,4.268,4.142,5.447,6.563,7.208,0.958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, No Comments
